mae_x_cm,mae_z_cm,mae_radius_cm,median_radius_cm,p90_radius_cm,rmse_radius_cm,bias_x_cm,bias_z_cm,k,metric,normalization,weighting,virtual_quadrants,training_events,reference_events,test_events
0.7822952121964837,0.8145189033159093,1.2919192155952732,0.9910202027228742,2.631473704331361,1.695880659019527,-0.047932048674290455,0.0036842677549968742,3,euclidean,l1,inverse,False,10000,10000,1000
0.7724834668765168,0.8280472131794306,1.299586096026575,0.9595548092085844,2.810960599983721,1.6920640421013808,-0.04383798650483685,-0.014554291717091218,16,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.7733517936012341,0.8367768431397881,1.2999872329818136,0.9530585367898985,2.723131574127386,1.7220473100743896,-0.03693756387872469,0.02660801430247755,8,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
0.7906686386666668,0.8219449113333334,1.3041391922221315,1.0029069259611116,2.656560815661013,1.7088292492863448,-0.05030475199999995,0.0011257313333334195,3,euclidean,l1,uniform,False,10000,10000,1000
0.7770385709475423,0.8417479483950958,1.306705347019537,0.9656382950069439,2.7725164871760506,1.727884898905919,-0.039109296488159626,0.02804585570538087,8,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.7788397719538004,0.8443093967649226,1.309049131096135,0.975538785411808,2.751851261740484,1.707981849807655,-0.05825989292098232,0.011832785374009475,12,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
0.7804054900000001,0.8353578540000001,1.3121700584028893,0.9818848942808667,2.8446694718012284,1.7035146839026918,-0.04467975199999997,-0.017957601999999958,16,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.7822873260000001,0.8471256680000001,1.3146577125008427,0.9776256501333519,2.7486382320691054,1.735555535418584,-0.041179751999999965,0.02916739800000004,8,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.7850734048902225,0.8524062676083272,1.3202564172567088,0.9898818449051783,2.7571359156303967,1.7182584934710738,-0.061661221277096424,0.010641179007621633,12,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.788360557043541,0.8367047792813601,1.3214468998303732,0.9636569015140908,2.822911767484281,1.7124078359984758,-0.05092421419227377,-0.02016090278742666,24,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
