channel,energy_keV,counts,count_rate_cps
286,711.604166,59,0.0007472610981
287,714.168769,53,0.0006712684441
288,716.734108,64,0.0008105883098
289,719.300182,55,0.0006965993287
290,721.866993,67,0.0008485846368
291,724.434540,59,0.0007472610981
292,727.002823,66,0.0008359191945
293,729.571842,53,0.0006712684441
294,732.141597,48,0.0006079412323
295,734.712087,55,0.0006965993287
296,737.283314,52,0.0006586030017
297,739.855277,68,0.0008612500792
298,742.427976,54,0.0006839338864
299,745.001411,49,0.0006206066747
300,747.575582,45,0.0005699449053
301,750.150489,61,0.0007725919828
302,752.726133,51,0.0006459375594
303,755.302512,54,0.0006839338864
304,757.879627,62,0.0007852574251
305,760.457478,41,0.000519283136
306,763.036065,41,0.000519283136
307,765.615389,51,0.0006459375594
308,768.195448,49,0.0006206066747
309,770.776243,44,0.000557279463
310,773.357775,51,0.0006459375594
311,775.940042,42,0.0005319485783
312,778.523046,53,0.0006712684441
313,781.106785,45,0.0005699449053
314,783.691261,58,0.0007345956558
315,786.276472,44,0.000557279463
316,788.862420,43,0.0005446140206
317,791.449103,46,0.0005826103477
318,794.036523,49,0.0006206066747
319,796.624679,36,0.0004559559243
320,799.213570,46,0.0005826103477
321,801.803198,49,0.0006206066747
322,804.393562,41,0.000519283136
323,806.984662,41,0.000519283136
324,809.576497,45,0.0005699449053
325,812.169069,43,0.0005446140206
326,814.762377,56,0.0007092647711
327,817.356421,39,0.0004939522513
328,819.951201,42,0.0005319485783
329,822.546717,41,0.000519283136
330,825.142969,48,0.0006079412323
331,827.739957,36,0.0004559559243
332,830.337681,36,0.0004559559243
333,832.936141,43,0.0005446140206
334,835.535337,37,0.0004686213666
335,838.135270,36,0.0004559559243
336,840.735938,54,0.0006839338864
337,843.337342,52,0.0006586030017
338,845.939482,52,0.0006586030017
339,848.542359,44,0.000557279463
340,851.145971,45,0.0005699449053
341,853.750319,38,0.0004812868089
342,856.355404,32,0.0004052941549
343,858.961224,43,0.0005446140206
344,861.567781,46,0.0005826103477
345,864.175073,46,0.0005826103477
346,866.783102,39,0.0004939522513
347,869.391866,42,0.0005319485783
348,872.001367,49,0.0006206066747
349,874.611603,44,0.000557279463
350,877.222576,44,0.000557279463
351,879.834285,44,0.000557279463
352,882.446730,46,0.0005826103477
353,885.059910,31,0.0003926287126
354,887.673827,39,0.0004939522513
355,890.288480,31,0.0003926287126
356,892.903869,49,0.0006206066747
357,895.519994,35,0.0004432904819
358,898.136854,37,0.0004686213666
359,900.754451,42,0.0005319485783
360,903.372784,50,0.000633272117
361,905.991853,32,0.0004052941549
362,908.611658,37,0.0004686213666
363,911.232200,37,0.0004686213666
364,913.853477,38,0.0004812868089
365,916.475490,45,0.0005699449053
366,919.098239,35,0.0004432904819
367,921.721724,43,0.0005446140206
368,924.345945,43,0.0005446140206
369,926.970903,31,0.0003926287126
370,929.596596,47,0.00059527579
371,932.223025,38,0.0004812868089
372,934.850191,33,0.0004179595972
373,937.478092,37,0.0004686213666
374,940.106729,43,0.0005446140206
375,942.736103,32,0.0004052941549
376,945.366212,40,0.0005066176936
377,947.997058,39,0.0004939522513
378,950.628639,39,0.0004939522513
379,953.260957,44,0.000557279463
380,955.894011,38,0.0004812868089
381,958.527800,29,0.0003672978279
382,961.162326,41,0.000519283136
383,963.797588,26,0.0003293015009
384,966.433585,36,0.0004559559243
385,969.070319,21,0.0002659742892
386,971.707789,37,0.0004686213666
387,974.345995,33,0.0004179595972
388,976.984937,37,0.0004686213666
389,979.624615,37,0.0004686213666
390,982.265029,39,0.0004939522513
391,984.906178,38,0.0004812868089
392,987.548064,37,0.0004686213666
393,990.190687,35,0.0004432904819
394,992.834045,34,0.0004306250396
395,995.478139,40,0.0005066176936
396,998.122969,41,0.000519283136
397,1000.768535,24,0.0003039706162
398,1003.414837,30,0.0003799632702
399,1006.061875,28,0.0003546323855
400,1008.709650,35,0.0004432904819
401,1011.358160,26,0.0003293015009
402,1014.007406,38,0.0004812868089
403,1016.657389,42,0.0005319485783
404,1019.308107,34,0.0004306250396
405,1021.959561,32,0.0004052941549
406,1024.611752,29,0.0003672978279
407,1027.264678,32,0.0004052941549
408,1029.918341,34,0.0004306250396
409,1032.572739,30,0.0003799632702
410,1035.227874,40,0.0005066176936
411,1037.883744,35,0.0004432904819
412,1040.540351,30,0.0003799632702
413,1043.197694,20,0.0002533088468
414,1045.855772,29,0.0003672978279
415,1048.514587,29,0.0003672978279
416,1051.174138,31,0.0003926287126
417,1053.834425,34,0.0004306250396
418,1056.495448,28,0.0003546323855
419,1059.157206,35,0.0004432904819
420,1061.819701,32,0.0004052941549
421,1064.482932,30,0.0003799632702
422,1067.146899,28,0.0003546323855
423,1069.811602,32,0.0004052941549
424,1072.477041,38,0.0004812868089
425,1075.143216,42,0.0005319485783
426,1077.810127,30,0.0003799632702
427,1080.477774,33,0.0004179595972
428,1083.146158,42,0.0005319485783
429,1085.815277,27,0.0003419669432
430,1088.485132,34,0.0004306250396
431,1091.155723,24,0.0003039706162
432,1093.827051,29,0.0003672978279
433,1096.499114,28,0.0003546323855
434,1099.171913,28,0.0003546323855
435,1101.845449,36,0.0004559559243
436,1104.519720,29,0.0003672978279
437,1107.194727,26,0.0003293015009
438,1109.870471,22,0.0002786397315
439,1112.546950,21,0.0002659742892
440,1115.224166,23,0.0002913051738
441,1117.902117,28,0.0003546323855
