mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p90_err_r_cm,p95_err_r_cm,rmse_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,feature_group,n_features,k,metric,normalization,weighting,training_events,training_positions,test_events
2.5404003246964617,1.8423984497173165,2.7964443786820685,5.490272664466488,6.838357689369031,3.2944477474498055,-0.06312229945640899,2.292341946868118,0.015738044903673618,2.3675266128227,face,16,8,euclidean,sqrt_l1,inverse2,2560,256,1000
2.634049060443508,1.9212226719001912,2.8220417218596263,5.919332383133363,7.35694930568196,3.442626368286616,-0.08375233300000005,2.364738364772492,0.01405472500000004,2.502864980349786,face,16,5,euclidean,sqrt_l1,uniform,2560,256,1000
2.5472200699620067,1.86614884661683,2.8378921321430806,5.483587327760678,6.83045650045412,3.29446864619564,-0.06055846099583279,2.2927682126715427,0.019780358566772734,2.3671796128182234,face,16,8,euclidean,sqrt_l1,inverse,2560,256,1000
2.5519965146481467,1.8567602146032303,2.8470111149124997,5.579703245336645,6.960443247798425,3.281183695527207,-0.04189313704775838,2.30516451338661,0.042282690979304434,2.3365815941473955,face,16,12,euclidean,sqrt_l1,inverse2,2560,256,1000
2.5574999646495717,1.8647973606940522,2.8500325896216867,5.512693880548949,6.857965862980158,3.300557180433297,-0.058517958000000064,2.2978571839002493,0.02319535000000001,2.3707526872238867,face,16,8,euclidean,sqrt_l1,uniform,2560,256,1000
2.5678498268840673,1.87691529218498,2.863022463404653,5.557717594252302,6.902716116968839,3.2908173321360756,-0.03794004991141512,2.313547721430926,0.048982704338815956,2.341788499816872,face,16,12,euclidean,sqrt_l1,inverse,2560,256,1000
2.586652116168412,1.9121832113750223,2.86713649995529,5.563643036497596,6.783841170257248,3.3056148080120713,-0.034689833000001766,2.325733600199832,0.05483597499999812,2.3504841892438733,face,16,12,euclidean,sqrt_l1,uniform,2560,256,1000
2.5659295299197593,1.9120802643954384,2.8695754847325894,5.593795581313977,6.8526661483432845,3.292965471112911,-0.05190317343537984,2.2930259676424143,0.0533129287352205,2.364522411016004,face,16,16,euclidean,sqrt_l1,inverse2,2560,256,1000
2.767777499241656,1.945011359948705,2.8724010709622716,5.959547249434958,7.7953045156944825,3.6761622723924607,-0.05564141819490257,2.5255089142966436,0.00018143635204470598,2.6732755888763644,face,16,3,euclidean,sqrt_l1,inverse2,2560,256,1000
2.5287595176361783,2.1078680213457597,2.8888488593034847,4.7370600695389875,5.626524085695158,3.1127717084814135,-0.02375233300000004,2.344229409694864,-0.055320274999999974,2.0493918845151455,all,32,1,euclidean,sqrt_l1,uniform,2560,256,1000
2.5287595176361783,2.1078680213457597,2.8888488593034847,4.7370600695389875,5.626524085695158,3.1127717084814135,-0.02375233300000004,2.344229409694864,-0.055320274999999974,2.0493918845151455,all,32,1,euclidean,sqrt_l1,inverse,2560,256,1000
2.5287595176361783,2.1078680213457597,2.8888488593034847,4.7370600695389875,5.626524085695158,3.1127717084814135,-0.02375233300000004,2.344229409694864,-0.055320274999999974,2.0493918845151455,all,32,1,euclidean,sqrt_l1,inverse2,2560,256,1000
2.7659607914462114,1.9487446797092138,2.9126737591010046,5.903466098754775,7.8215730139065025,3.6659967079117526,-0.05225708017378461,2.5158037494749816,0.0030977321758670334,2.6685151676316665,face,16,3,euclidean,sqrt_l1,inverse,2560,256,1000
2.7679339092868203,1.9518542699002555,2.9360210499716994,6.003082998367527,7.7397182308386565,3.662749254424736,-0.04875233300000132,2.511656782817968,0.006138058333331955,2.668018850150771,face,16,3,euclidean,sqrt_l1,uniform,2560,256,1000
2.6563610023055912,1.9213251684825061,2.945392343459119,5.694617627310197,7.138553977784205,3.4772708475480947,0.07036536942617426,2.3975720993792047,0.2231153145541119,2.5100552934609084,face,16,8,euclidean,l1,inverse2,2560,256,1000
2.585809357003557,1.91401036934419,2.9598724820181683,5.6198509008530095,6.95264127936816,3.309357783817041,-0.049029663526785214,2.3035941972992138,0.060696701707434415,2.3770089262847933,face,16,16,euclidean,sqrt_l1,inverse,2560,256,1000
2.6712136006505505,1.9244705779217948,2.971165478161435,5.829688110789261,7.15499551802584,3.490933915771273,0.07627772514704907,2.409926037399814,0.23023000954290987,2.516384685473958,face,16,8,euclidean,l1,inverse,2560,256,1000
2.6965260044785704,1.9202878928890974,2.975951755579541,5.765148443096272,7.562168530287577,3.557936483660874,0.05451787096662451,2.44932735111906,0.21030025463441876,2.5739334667849385,face,16,5,euclidean,l1,inverse2,2560,256,1000
