reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,3,euclidean,l1,uniform,1000,0.07656591599999998,2.3334430056014193,0.09767399533333329,2.3248604024982775,2.4326702422447157,3.2719267554742744,6.130137946718412
events,24,euclidean,none,inverse2,1000,0.041301469038446184,2.28343521956956,0.05670024306222747,2.334570196897226,2.4897893497157817,3.2721692595406764,6.085918405598819
events,3,euclidean,l1,inverse,1000,0.0758904607318802,2.3250214709381365,0.10049606395140401,2.318774192852997,2.3901939239386687,3.2763583631669935,6.082984443128601
events,12,euclidean,sqrt,uniform,1000,0.002828543333333421,2.2388647054892776,0.08024975491666649,2.307968854108093,2.4785878507914583,3.286159752424086,5.881730529345923
events,8,cosine,l1,uniform,1000,0.06103561462499999,2.3626175353597336,0.10600732949999986,2.49460815915781,2.5368804972060985,3.2871386560406406,6.511836016948602
events,8,cosine,none,uniform,1000,0.06103561462499999,2.3626175353597336,0.10600732949999986,2.49460815915781,2.5368804972060985,3.2871386560406406,6.511836016948602
events,16,cosine,l1,inverse2,1000,0.036524659404331826,2.3744723711685394,0.08978368050409016,2.451337906334086,2.4836885279590595,3.2917170709520422,6.725196849204388
events,16,cosine,none,inverse2,1000,0.03652465940433307,2.37447237116854,0.08978368050408987,2.4513379063340857,2.483688527959056,3.2917170709520494,6.725196849204382
events,12,cosine,l1,uniform,1000,0.038182078416666584,2.3727303777088182,0.09161338908333332,2.46909333602831,2.4808401473816275,3.295839386756263,6.619189887198386
events,12,cosine,none,uniform,1000,0.038182078416666584,2.3727303777088182,0.09161338908333332,2.46909333602831,2.4808401473816275,3.295839386756263,6.619189887198386
events,5,cosine,l1,inverse,1000,0.08179632428933498,2.406349328165035,0.09162798998129065,2.4865081871256436,2.488400916252261,3.3031309873789794,6.652206167332156
events,5,cosine,none,inverse,1000,0.08179632428933586,2.4063493281650348,0.09162798998129104,2.4865081871256436,2.48840091625226,3.303130987379002,6.652206167332148
templates,5,cosine,none,inverse,1000,0.015693941013179738,2.3355228346438546,0.11207653748291663,2.4331129442171417,2.44600321175873,3.3031467526294414,6.378454043378465
templates,5,cosine,l1,inverse,1000,0.01569394101317994,2.335522834643854,0.11207653748291656,2.4331129442171413,2.446003211758741,3.303146752629444,6.378454043378463
events,24,euclidean,none,inverse,1000,0.04282736238068739,2.3128173347960304,0.05359358152177509,2.3649651265689315,2.5345368836269397,3.304851104616834,6.130997671291043
events,16,euclidean,none,uniform,1000,0.04285379612500001,2.2845811362922914,0.0791133904999999,2.3311288357103623,2.4081799923205,3.3109390556209926,5.964435251066907
templates,8,euclidean,l1,inverse,1000,0.040801011233474925,2.315330149374749,0.03419876311755395,2.453372757529093,2.515855479298696,3.3116946432017755,6.20622193796735
events,32,euclidean,none,inverse2,1000,0.04001512792126644,2.306420423290898,0.043578362211624595,2.3761863288046854,2.5279294100449476,3.3127398990006687,6.1654350505577415
events,64,euclidean,l1,uniform,1000,0.037787507125000105,2.3484315215080414,0.05657551164062491,2.4878824838877467,2.4900776035028587,3.3163815477021257,6.466622158331139
events,24,cosine,l1,inverse2,1000,0.04061620914301831,2.429965858378441,0.08503354993631382,2.464606901060882,2.492951043527812,3.3221296202252235,6.890575309835769
events,24,cosine,none,inverse2,1000,0.04061620914301932,2.4299658583784414,0.08503354993631368,2.464606901060882,2.4929510435278224,3.32212962022524,6.890575309835776
templates,24,cosine,l1,inverse2,1000,0.0416266687016291,2.409025262645985,0.08976501177598278,2.523403067090661,2.4182228419533844,3.3315469278598826,6.777908651278594
templates,24,cosine,none,inverse2,1000,0.041626668701629455,2.4090252626459856,0.08976501177598331,2.523403067090662,2.418222841953391,3.331546927859931,6.7779086512785955
events,64,euclidean,sqrt,inverse2,1000,0.012092913006843264,2.2892916740316234,0.08014543435381077,2.3909868271046286,2.4257985437695098,3.3342702843752012,6.186233040288902
events,16,cosine,none,inverse,1000,0.03272040365713171,2.402582908922077,0.0917846082648961,2.4797550195626115,2.5109195707443233,3.33770715713914,6.907683441141611
events,16,cosine,l1,inverse,1000,0.03272040365713116,2.402582908922077,0.09178460826489601,2.479755019562612,2.510919570744351,3.3377071571391466,6.9076834411415975
templates,3,cosine,l1,uniform,1000,-0.03858559666666669,2.322709527007054,0.17848207833333332,2.4771702679353496,2.467779365704368,3.3389703937671285,6.241629107441407
templates,3,cosine,none,uniform,1000,-0.03858559666666669,2.322709527007054,0.17848207833333332,2.4771702679353496,2.467779365704368,3.3389703937671285,6.241629107441407
events,5,cosine,none,inverse2,1000,0.08110163393001142,2.395827602617403,0.09492801667334742,2.477672466908831,2.467733633625877,3.3400091335381106,6.778872152628622
events,5,cosine,l1,inverse2,1000,0.0811016339300098,2.395827602617404,0.09492801667334701,2.477672466908831,2.4677336336258806,3.3400091335381386,6.778872152628585
events,5,euclidean,none,inverse,1000,0.042698234760611256,2.296054233016775,0.07355043489217428,2.3318144182336518,2.527919558446941,3.348596636415056,5.905871573306327
events,5,cosine,l1,uniform,1000,0.08202046220000002,2.4283781651057175,0.08858308540000004,2.5052312840685587,2.4955891617224664,3.3504877818600565,6.7540108679395665
events,5,cosine,none,uniform,1000,0.08202046220000002,2.4283781651057175,0.08858308540000004,2.5052312840685587,2.4955891617224664,3.3504877818600565,6.7540108679395665
events,5,euclidean,none,uniform,1000,0.04808106720000011,2.3045439116828463,0.07343157360000009,2.3426673878023956,2.511938114446024,3.3531921862526737,5.969449985651475
events,32,euclidean,none,inverse,1000,0.041079712131936647,2.3421599286373436,0.039039998457609526,2.4152787217467693,2.574754904304313,3.3547228080349427,6.302134017585119
events,8,euclidean,sqrt,inverse2,1000,-0.005204200062392544,2.317812099895689,0.0571554449439996,2.3598102702278227,2.4841690844996442,3.3607828147239434,6.244344431206283
templates,5,euclidean,l1,uniform,1000,0.031111370800000045,2.2362840702573803,0.11464369220000006,2.443655678707461,2.4537189356348175,3.3612397568073615,6.005520286792647
events,32,cosine,none,inverse2,1000,0.0325418266628369,2.4464547523991143,0.06978957479324256,2.4935678752313706,2.517580255213703,3.3623862576303147,6.922568501879742
events,32,cosine,l1,inverse2,1000,0.03254182666283613,2.4464547523991143,0.06978957479324274,2.4935678752313706,2.5175802552137085,3.362386257630317,6.922568501879736
templates,16,euclidean,l1,inverse2,1000,0.057873469247831884,2.3795613396332986,0.03049083499148918,2.5514196073533375,2.485305333340851,3.362561389089578,6.557754801151607
events,64,euclidean,sqrt,uniform,1000,0.012787507484375026,2.3220896237064297,0.08006036081250005,2.4260445146544143,2.4769237363516985,3.3642402157731817,6.274569070385186
events,64,euclidean,sqrt,inverse,1000,0.012534218342041228,2.3059684227529686,0.08018637469197452,2.408827752870545,2.4556124140454396,3.3666270191225705,6.239953784801706
events,8,euclidean,sqrt,inverse,1000,-0.0034826512500294626,2.322720446983512,0.05825672958246106,2.362428467601564,2.481994695100564,3.367581462530516,6.301527889500906
events,5,euclidean,none,inverse2,1000,0.036913848548815534,2.29094005907572,0.07371148704762749,2.3246728223486484,2.544464036234357,3.373037646649538,5.792542867391671
events,24,euclidean,none,uniform,1000,0.0433588462499999,2.342625036155081,0.050072987291666496,2.3957166101231135,2.5393766002748075,3.3734135674382477,6.18608791612735
events,8,euclidean,sqrt,uniform,1000,-0.0018431732499999925,2.3286274308917,0.059416420749999914,2.3661628888033626,2.493903941711101,3.375604920617393,6.2925171911147
events,16,euclidean,sqrt_l1,inverse2,1000,0.013012549879302974,2.349147081431073,0.08898805567819805,2.4711145632650995,2.4601784535872424,3.3887929255183753,6.268390787545416
events,16,euclidean,sqrt_l1,uniform,1000,0.014634098124999951,2.359741052099814,0.08725732849999994,2.4776981485306395,2.5004778243837933,3.388940006107969,6.352581680646753
events,48,euclidean,none,inverse2,1000,0.0363566772072358,2.3457845203131074,0.027199030268872177,2.4464088594326547,2.5672361811587345,3.390521330380577,6.242559787708947
events,16,euclidean,sqrt_l1,inverse,1000,0.013712877529799002,2.354311749162332,0.08801900395424167,2.4740067212586543,2.489220722525652,3.393325677997104,6.304455344546441
events,16,cosine,l1,uniform,1000,0.03016440093749985,2.438134892294541,0.0921815713124999,2.512659587402497,2.511826368224403,3.4051257942741753,6.921340407616101
events,16,cosine,none,uniform,1000,0.03016440093749985,2.438134892294541,0.0921815713124999,2.512659587402497,2.511826368224403,3.4051257942741753,6.921340407616101
templates,32,cosine,none,inverse2,1000,0.0477324723731484,2.449041138985592,0.09892260999299006,2.570158543096376,2.4803569324565307,3.406732323537085,6.862278312181451
templates,32,cosine,l1,inverse2,1000,0.047732472373148045,2.4490411389855917,0.09892260999298955,2.5701585430963747,2.480356932456524,3.406732323537086,6.8622783121814495
events,5,euclidean,sqrt,inverse2,1000,-0.01945389487002345,2.3975507071571664,0.03046502529449545,2.4138229723191307,2.5162039524457622,3.4084717153684547,6.352830585587976
events,24,cosine,none,inverse,1000,0.03943624183871624,2.478837069526112,0.08414335460051083,2.499906070668899,2.556766480807399,3.4098232793805727,6.860044680113548
events,24,cosine,l1,inverse,1000,0.03943624183871586,2.478837069526112,0.08414335460051084,2.499906070668899,2.556766480807397,3.409823279380573,6.8600446801135435
templates,5,cosine,sqrt,inverse2,1000,-0.020163371408225685,2.321247500693129,0.06684517747348445,2.508659076104393,2.548757325262839,3.4150815452089467,6.413150469878197
templates,5,cosine,sqrt_l1,inverse2,1000,-0.02016337140822634,2.3212475006931292,0.06684517747348476,2.508659076104393,2.548757325262841,3.41508154520896,6.413150469878183
templates,8,cosine,none,inverse,1000,0.044010001391991384,2.4253624651002035,0.058196039650068185,2.4894017449068886,2.4408886042645834,3.416207370683821,6.634278924860873
templates,8,cosine,l1,inverse,1000,0.04401000139199125,2.4253624651002026,0.058196039650067775,2.4894017449068877,2.4408886042645284,3.4162073706838294,6.634278924860873
events,5,euclidean,sqrt,inverse,1000,-0.018136435631801093,2.401534656517016,0.02979939983384486,2.414945467643628,2.5107924637961148,3.416849074671066,6.391095448912034
events,3,euclidean,none,uniform,1000,0.045252784333333324,2.4096405543533845,0.06131036099999997,2.4435090146986704,2.6283739445388443,3.418719196839179,6.221801822991019
events,5,euclidean,sqrt,uniform,1000,-0.016767417799999997,2.4067874910535836,0.02918914660000017,2.4175465857033167,2.5271605383947238,3.4240825955580028,6.374832540669676
templates,5,cosine,sqrt,inverse,1000,-0.017659531872430478,2.3435943434199045,0.061834096448358605,2.5306068260716543,2.5696482513530414,3.4329186558523683,6.444771898913762
templates,5,cosine,sqrt_l1,inverse,1000,-0.017659531872430925,2.3435943434199045,0.06183409644835859,2.5306068260716543,2.5696482513530396,3.4329186558523688,6.444771898913766
events,32,euclidean,none,uniform,1000,0.04143334081250008,2.377002260647842,0.034321724437500006,2.4533218507949273,2.6019657405328336,3.434423052068797,6.391323852580194
