reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,5,euclidean,sqrt,inverse2,1000,-0.20986369533680108,4.692285930803438,0.04853330694106448,4.527948262866673,3.400352392679051,5.159963503731816,13.961253598431192
events,64,euclidean,sqrt,inverse,1000,-0.30861890070060016,4.435459816073077,-0.15605166128459327,4.492222978620549,3.4249067025920468,5.166909822797105,14.204733805100084
events,5,euclidean,sqrt,uniform,1000,-0.2155552849999999,4.701111186631894,0.04131061300000022,4.534925291917545,3.406116253287097,5.177767978736587,13.807031592984012
events,48,euclidean,none,inverse2,1000,-0.6698971319664984,4.263790863826749,-0.45918342916169613,4.247669862690813,3.5995711870429643,5.190578545862693,13.328038562716673
events,64,euclidean,sqrt,uniform,1000,-0.31699481490624987,4.446997882335437,-0.1650623566875,4.506622661789369,3.455289346551773,5.195793858478669,14.227448278410591
templates,5,euclidean,none,uniform,1000,-0.6076764969999999,4.065536842907835,-0.3950525449999999,4.3046490352247515,3.7470706801827274,5.226666916595414,12.269434528241309
templates,8,euclidean,none,inverse2,1000,-0.6357807469867417,4.057566467825013,-0.4983935788430587,4.2797478131852325,3.700759646551783,5.25368562571798,12.179155064985991
events,64,euclidean,none,inverse2,1000,-0.7634011455764944,4.316954414400575,-0.540723621037866,4.28732938837613,3.682112428034187,5.27162764347561,13.545843188232954
events,48,euclidean,none,inverse,1000,-0.7012701293386467,4.287649704492085,-0.4947926216690994,4.277865666742597,3.641400120342174,5.28494861343634,13.389411899826493
templates,12,euclidean,none,inverse2,1000,-0.7615754864838962,4.084039553714688,-0.6236982973990385,4.276813348869902,3.875250840075767,5.313709862284373,12.327615281822297
templates,8,euclidean,none,inverse,1000,-0.6828494353811462,4.08297940086406,-0.5309237616061675,4.303396922219132,3.748971365899325,5.33970568864889,12.25013959959583
templates,1,euclidean,none,inverse2,1000,-0.30222214100000006,4.690270892406836,-0.19323437699999993,5.060164574401129,3.6781725286674867,5.34732084430734,14.121681451728438
templates,1,euclidean,none,uniform,1000,-0.30222214100000006,4.690270892406836,-0.19323437699999993,5.060164574401129,3.6781725286674867,5.34732084430734,14.121681451728438
templates,1,euclidean,none,inverse,1000,-0.30222214100000006,4.690270892406836,-0.19323437699999993,5.060164574401129,3.6781725286674867,5.34732084430734,14.121681451728438
events,3,euclidean,sqrt,inverse,1000,-0.21970203736500435,4.944935623122741,0.08774016831976944,4.822681596006346,3.668458641742371,5.384369542597663,14.266130648761777
events,3,euclidean,sqrt,inverse2,1000,-0.21603086672249708,4.946356584116133,0.08908218109689765,4.827803301270883,3.6826279180400516,5.38793356233685,14.383464153027134
events,48,euclidean,none,uniform,1000,-0.7299998364166667,4.311744037231416,-0.526568137625,4.306058155390153,3.684481476007623,5.3906886680291874,13.44305227527878
events,3,euclidean,sqrt,uniform,1000,-0.22343426433333327,4.9462319384697455,0.08656312299999999,4.819953227201926,3.680297121239912,5.400190583605612,14.193334931488954
events,64,euclidean,none,inverse,1000,-0.8078248073511772,4.346506087039822,-0.5867099456125798,4.323396967820197,3.795806960418866,5.411163465611091,13.709071025128841
templates,8,euclidean,none,uniform,1000,-0.7294946059999998,4.11764764369819,-0.5640677057499999,4.334436241870365,3.886182133888417,5.414282814779069,12.235332744300983
templates,3,euclidean,sqrt,inverse2,1000,-0.8672530012677314,4.5152081427703115,-0.7096397973894503,4.769424361250171,3.720424555150357,5.488703342383769,14.005268098031204
events,64,euclidean,none,uniform,1000,-0.8486709106875,4.375594908346431,-0.6273730610624999,4.356604367023919,3.8911114197044885,5.501889612415688,13.819572878972885
templates,3,euclidean,sqrt,inverse,1000,-0.8680812270263241,4.520946124076053,-0.7140505631349845,4.774143809455402,3.735301437956819,5.506552322356071,13.960039279217522
templates,12,euclidean,none,inverse,1000,-0.8363500548865386,4.125255732620093,-0.6853343938438381,4.316325019830295,4.019712462562164,5.526034498261196,12.271273227151633
templates,3,euclidean,sqrt,uniform,1000,-0.8688888943333333,4.527285460774261,-0.718487197,4.7795342011185395,3.7114505142377254,5.52804948085602,13.922404586315295
templates,5,euclidean,sqrt,inverse2,1000,-0.9942514577526904,4.36520004192598,-0.809111992292185,4.594114615245119,3.699698843234362,5.538155048461624,13.832733725873664
templates,16,euclidean,none,inverse2,1000,-0.8754417790206004,4.117524093353423,-0.7402232202556143,4.319741400279752,4.081534764963031,5.543379569594123,12.193174093652514
