reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,64,euclidean,sqrt,inverse,1000,-0.06725130043351543,2.3792625991005654,0.055906483424187914,2.5336991712113512,2.475697026128385,3.470884354585149,6.6791827649772655
events,8,cosine,none,inverse,1000,0.05285848355379791,2.534062047293319,0.06802524127248642,2.7060943203365855,2.5201808524426035,3.472769381360077,7.057093329400381
events,8,cosine,l1,inverse,1000,0.052858483553798324,2.534062047293319,0.06802524127248623,2.7060943203365855,2.5201808524426044,3.4727693813600844,7.057093329400394
templates,16,euclidean,l1,inverse2,1000,-0.002003626164413376,2.473379180560728,0.07777110117173269,2.6393457101504105,2.4901063222095052,3.475002645833061,7.16482154193014
templates,8,euclidean,l1,inverse,1000,-0.007430002443034357,2.417937817987889,0.06615479613236856,2.5193850088369287,2.5502765062512367,3.476076724198497,6.744857020827769
events,3,euclidean,none,inverse,1000,0.032759987322576734,2.442285500757115,0.031422894933268206,2.485689031208869,2.587718236826527,3.4825552143837544,6.5952582885292745
events,64,euclidean,none,inverse2,1000,-0.06382184826817185,2.3994230703323667,0.008731964330516118,2.5521831588969914,2.532770706178913,3.488739933786102,6.62858750918599
events,48,euclidean,none,inverse,1000,-0.06031134462581987,2.408310943764529,0.016415742012889086,2.5436543966009437,2.552575829353279,3.4908546988595512,6.645212178002145
templates,16,cosine,l1,inverse2,1000,-0.01160738472377311,2.5418125248546124,0.07197570923880403,2.6680163794031344,2.454024627141198,3.4925916176139666,6.94815128798493
templates,16,cosine,none,inverse2,1000,-0.011607384723769584,2.541812524854611,0.07197570923880596,2.6680163794031313,2.454024627141206,3.4925916176139906,6.948151287984932
events,3,euclidean,none,uniform,1000,0.027071089,2.450784281866715,0.033028119666666605,2.4914397875472436,2.5892362221601366,3.4935715115402965,6.618678543195607
events,64,euclidean,sqrt,uniform,1000,-0.06822556474999991,2.3942211473543873,0.05757053581249997,2.5493204316694404,2.5039155298471365,3.5017663922299818,6.730623534851948
events,8,cosine,l1,uniform,1000,0.04777802400000007,2.542584422090639,0.06661408799999981,2.7234800964209955,2.5514390626619754,3.5038893630155763,7.054277921427576
events,8,cosine,none,uniform,1000,0.04777802400000007,2.542584422090639,0.06661408799999981,2.7234800964209955,2.5514390626619754,3.5038893630155763,7.054277921427576
templates,5,euclidean,sqrt,uniform,1000,-0.06464618100000001,2.4414408233262517,0.07161413100000004,2.570916648652501,2.616199562383276,3.5052990713681798,6.662329403169375
events,12,cosine,none,inverse2,1000,0.0475389067083628,2.5854224736104894,0.07302535986752899,2.6717578271809472,2.5252462765006705,3.5105109723970034,7.048244642530728
events,12,cosine,l1,inverse2,1000,0.047538906708363804,2.5854224736104894,0.07302535986752919,2.6717578271809472,2.5252462765006793,3.5105109723970065,7.048244642530699
events,64,euclidean,l1,uniform,1000,-0.022013604750000016,2.4618937339727114,0.0822864736250001,2.5894464222409845,2.5636535828782208,3.512544570774219,6.8399705399715875
templates,8,euclidean,sqrt,inverse2,1000,-0.09208132506953558,2.414320483113869,0.04764910905274436,2.5840526959386265,2.5443457792741464,3.519862961329636,6.6969034737731
events,16,cosine,none,inverse2,1000,0.04184085164109388,2.572939987113279,0.06789787829775852,2.673443370088444,2.539679555020326,3.536421477848848,6.877010666955841
events,16,cosine,l1,inverse2,1000,0.0418408516410947,2.5729399871132794,0.06789787829775844,2.6734433700884432,2.5396795550203137,3.536421477848857,6.877010666955861
templates,3,euclidean,sqrt,inverse2,1000,-0.031000847541894232,2.37458911591698,0.05999868230194511,2.575045842940486,2.6349687718650285,3.540734849164196,6.516312958836746
events,12,cosine,l1,inverse,1000,0.04513040953622015,2.597522112680187,0.07540449210344591,2.671463624662786,2.487110732733848,3.549922942733504,7.027260224926301
events,12,cosine,none,inverse,1000,0.045130409536220085,2.5975221126801875,0.07540449210344619,2.6714636246627865,2.48711073273384,3.549922942733511,7.027260224926274
templates,8,euclidean,sqrt,inverse,1000,-0.09480666027622796,2.4371017845766856,0.04776505166279667,2.6033248992964806,2.5736100994051414,3.5533930997793806,6.719813910792862
events,12,cosine,l1,uniform,1000,0.04171740983333325,2.620738891207724,0.07747262550000004,2.681796163592557,2.5033006933245106,3.558129999140112,7.086888557989629
events,12,cosine,none,uniform,1000,0.04171740983333325,2.620738891207724,0.07747262550000004,2.681796163592557,2.5033006933245106,3.558129999140112,7.086888557989629
events,16,cosine,none,inverse,1000,0.03725252791095295,2.587798329366526,0.07008431551379474,2.6802934712950277,2.5216086794191157,3.5610027027692444,6.983279896031818
events,16,cosine,l1,inverse,1000,0.03725252791095316,2.587798329366526,0.07008431551379461,2.6802934712950277,2.5216086794191206,3.5610027027692475,6.983279896031784
events,48,euclidean,none,uniform,1000,-0.07002488995833328,2.4585073851656305,0.014025757999999975,2.5931402267294352,2.6022707841032817,3.5723071105907116,6.698015688899117
events,64,euclidean,none,inverse,1000,-0.07641770346005279,2.465033312098784,0.005486355070818636,2.6209677433598864,2.617925655912436,3.5727186449479866,6.745073857130167
templates,1,euclidean,l1,uniform,1000,0.10080814900000004,2.690637786487541,0.006765693000000084,2.703977250227551,2.58139734009084,3.574403089677696,7.736763904994746
templates,1,euclidean,l1,inverse,1000,0.10080814900000004,2.690637786487541,0.006765693000000084,2.703977250227551,2.58139734009084,3.574403089677696,7.736763904994746
templates,1,euclidean,l1,inverse2,1000,0.10080814900000004,2.690637786487541,0.006765693000000084,2.703977250227551,2.58139734009084,3.574403089677696,7.736763904994746
events,24,cosine,l1,inverse2,1000,0.01650777938812639,2.617180868211274,0.0782713845298496,2.7309238821579513,2.5774420996285836,3.577336390607881,6.919245582221222
events,24,cosine,none,inverse2,1000,0.01650777938812599,2.6171808682112743,0.07827138452984948,2.7309238821579513,2.577442099628567,3.577336390607904,6.919245582221237
events,5,cosine,none,inverse2,1000,0.051787646515451286,2.600643226772157,0.06940474642197211,2.73681961486143,2.563632370288277,3.5819276490153755,7.296673104813428
events,5,cosine,l1,inverse2,1000,0.05178764651545238,2.600643226772156,0.06940474642197225,2.736819614861429,2.5636323702882704,3.581927649015376,7.296673104813399
events,5,euclidean,sqrt,inverse2,1000,-0.03570607077917958,2.479804717200065,0.036353396806155916,2.5748160230574424,2.630553451056593,3.586661109428715,6.682602216446213
